FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-14 19:00:00,Solo daños,Choque,0,0,1,11.0139613,-74.80960449999999
2015-01-14 07:02:00,Solo daños,Choque,0,0,1,11.0102024,-74.8151565
2015-01-14 19:30:00,Con heridos,Choque,2,0,1,10.9851148,-74.7735349
2015-01-14 10:00:00,Solo daños,Choque,0,0,1,10.9715729,-74.7825809
2015-01-15 13:00:00,Solo daños,Choque,0,0,1,10.9864289,-74.7850878
2015-01-15 13:20:00,Solo daños,Choque,0,0,1,11.0332643,-74.8309547
2015-01-15 13:50:00,Solo daños,Choque,0,0,1,10.9706479,-74.7802456
2015-01-15 14:15:00,Con heridos,Atropello,2,0,1,10.9373814,-74.8241065
2015-01-15 15:00:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-15 15:33:00,Solo daños,Choque,0,0,1,10.9939449,-74.7926648
2015-01-15 16:00:00,Solo daños,Choque,0,0,1,11.0055528,-74.8235143
2015-01-15 16:00:00,Solo daños,Choque,0,0,1,10.9555496,-74.79229099999999
2015-01-15 16:35:00,Con heridos,Choque,2,0,1,11.0072963,-74.83705
2015-01-15 16:37:00,Solo daños,Choque,0,0,1,10.951814,-74.7914468
2015-01-15 16:50:00,Solo daños,Choque,0,0,1,10.9798287,-74.7871297
2015-01-15 17:25:00,Solo daños,Choque,0,0,1,11.0012798,-74.80468479999999
2015-01-15 05:50:00,Solo daños,Choque,0,0,1,11.0173228,-74.8021914
2015-01-15 18:40:00,Solo daños,Choque,0,0,1,11.0024054,-74.8187461
2015-01-15 07:50:00,Solo daños,Choque,0,0,1,11.004773,-74.8006532
2015-01-15 08:40:00,Solo daños,Choque,0,0,1,10.9729477,-74.8047698
2015-01-15 11:20:00,Solo daños,Otro,0,0,1,11.0012037,-74.80774740000001
2015-01-15 12:10:00,Solo daños,Choque,0,0,1,10.9957165,-74.8162959
2015-01-16 13:20:00,Solo daños,Choque,0,0,1,11.0332643,-74.8309547
2015-01-16 14:15:00,Solo daños,Choque,0,0,1,10.9984724,-74.8146494
2015-01-16 16:10:00,Solo daños,Choque,0,0,1,11.0018288,-74.80391689999999
